software,counts,document
GEne SeT AnaLysis,1,1
PicardTools,1,1
windowmasker,1,1
DEseq2,1,1
Mikado,1,1
epuRate,1,1
fsaverage,1,1
StatSigMA,1,1
AutoMz,1,1
Pecan,1,1
FSL,1,1
AFNI,1,1
cadbiom-core package,1,1
rmarkdown,1,1
ukbtools,1,1
matrixStats,1,1
RcolorBrewer,1,1
gridExtra,1,1
Morpho,1,1
Rvcg,1,1
png,1,1
CRYO-EM,1,1
Jython,1,1
Blupf,1,1
Rapid Analytics and Model Prototyping,1,1
Pytest,1,1
Pypi,1,1
DeepNeuro 4,1,1
DLTK 5,1,1
LIkelihood Optimisa-tioN,1,1
AIVIA,1,1
MOR- PHOGRAPHX,1,1
IM-AGEJ,1,1
SCIKIT-IMAGE,1,1
MATPLOTLIB,1,1
Image Science,1,1
KN- IME,1,1
Phylogeny.fr,1,1
VIRSORTER,1,1
PyTorch library,1,1
MORPHOGRAPHX,1,1
DECONVOLUTIONLAB2,1,1
CELLPROFILER ANALYST,1,1
LEICA APPLICATION SUITE X,1,1
BIG- DATAVIEWER,1,1
VTK (Visualization Toolkit),1,1
.NET,1,1
vtkVolumeRayCastFunction,1,1
vtkRenderer,1,1
rstanarm,1,1
fmsb,1,1
bayestestR,1,1
pyDBS,1,2
PARAVIEW,1,1
SERIALEM,1,1
STACKREG,1,1
TRACKMATE,1,1
SR-TESSLER,1,1
ARIVIS VISION 4D,1,1
STARDIST,1,1
SRA Toolkit,1,1
AMIRA-AVIZO,1,1
CCP-EM,1,1
TOMOPY,1,1
TOMVIZ,1,1
CATMAID,1,1
NIS-ELEMENTS,1,1
CELLPOSE,1,1
GWYDDION,1,1
Blat,1,1
Word,1,1
FO-CUS,1,1
MUST Matlab UltraSound Toolbox,1,1
MUST),1,1
EMAN2,1,1
NANOJ,1,1
JAVASCRIPT,1,1
Trimmo-matic,1,1
RAST server,1,1
SLIDINGWINDOW,1,1
BlastX,1,1
MultiQC,1,1
MinionQC . Porechop,1,1
RASTtk,1,1
Elsevier Application Programming Interface,1,1
MArtini,1,1
Anton3,1,1
Charmm-GUI,1,1
serverhttps,1,1
Nano Disc builder,1,1
Folding@home,1,1
Insane.py,1,1
OrthoVenn2,1,2
Opensim,1,2
LibreOffice Calc,1,1
gzip,1,1
ElasticSearch,1,1
scikit-optimize,1,1
DBSCAN,1,1
LightDock,1,1
PyCGTOOL,1,1
ASREML,1,1
Unity Game Engine,1,1
Beagle,1,2
blastp,1,1
DNAPlotter,1,1
PlasAnnot,1,1
hmmer,1,1
Mauve,1,1
Multiple Expectation maximization for Motif Elicitation analysis (MEME),1,1
Qupath,1,2
BioGeoBEARS,1,1
TreeSolve,1,1
Phylobayes,1,1
GeneRax,1,1
PRAEVAorta,1,1
NIRSTORM,1,2
ExcelsiusGPS,1,1
SCILS,1,1
TRAKEM,1,1
IslandViewer,1,1
Jspecies,1,1
SMRT Analysis,1,1
Microscope,1,1
HeNormal,1,1
Metabat,1,1
metaSPADES,1,1
Peak-Forest,1,1
Molfile,1,1
OpenBabel,1,1
NIST MSsearch,1,1
BioSM,1,1
Mazor X Stealth Edition,1,1
Torrent Suite,1,1
phyloseq,1,1
Space-PHARER,1,1
Diamond,1,1
MMseqs,1,1
CRISPRdetect,1,1
Bow-tie2,1,1
CheckM,1,1
PHAge Search Tool Enhanced,1,1
ISFinder,1,1
Bacterial Pan Genome Analysis BPGA,1,1
CGViewer,1,1
IslandPath,1,1
USEARCH,1,1
MUMmer,1,1
WIsH,1,1
EBRAINS NeuroFeatureExtract (NFE),1,1
BlueNeuronAsAService,1,1
NGINX,1,1
PyNN,1,1
uWSGI,1,1
SNPE-C,1,2
cTAKES ECMT,1,1
-ld,1,1
Google Street View API,1,1
AutoIt,1,2
NeuroScienceGateway,1,1
Blue Brain Python,1,1
Openstack,1,1
Optimization Library (,1,1
efelg,1,1
Collabs,1,1
Verasonics Sequencing software,1,2
KrylovKit.jl,1,1
BifurcationKit.jl,1,1
CUDA.jl,1,1
Statistical Parametric Mapping (SPM,1,1
hMRI,1,1
pyebm,1,1
pcurvepy,1,1
HSCNN,1,1
HSCNN-R,1,1
Agisoft Metashape,1,1
HSCNNR,1,1
SPCImage,1,2
Project Five,1,1
TomoPhantom,1,2
PyPhase,1,1
Natural Language Toolkit (NL TK),1,2
quanteda,1,1
OrdinalEncoder,1,2
Stand-ardScalar,1,1
OneHotEncoder,1,1
OpenviBE,1,2
OpenViBE,1,1
RandomForestClassifier,1,1
Tinker,1,1
Fluent,1,1
momentuHMM,1,1
GeneScan,1,1
SubTomogramAveraging,1,1
Farneback-3D,1,1
TOM2-toolbox,1,1
TextCategorizer,1,2
SWISS-MODEL,1,1
Avogadro,1,2
FMECAengine 3D,1,1
MedeA LAMMPS,1,1
Ovito,1,1
Materials,1,1
Comsol Multiphysics,1,1
OpenFoam,1,1
UIMA CAS Visual Debugger (CVD),1,1
Met-aMap,1,1
CISMef,1,1
Capybara,1,1
-neM,1,1
Geneious Prime,1,1
PHYRE,1,1
Qualitative Model Energy Analysis (QMEAN),1,1
Fijiyama,1,1
Plugin page,1,1
ystem,1,1
Adode Photoshop,1,2
RStudio IDE,1,1
Adobe After Effects,1,1
PyHST,1,1
3D Viewer,1,1
DeepInterpolation,1,1
Propag-5,1,2
Optimization Toolbox,1,2
NMMD software,1,1
MDFF,1,1
iMDFF,1,1
Xmipp 3,1,1
Smartroot,1,2
fmincon,1,1
msPro,1,1
Prost!,1,1
Phy,1,1
Neuroscope,1,1
CellExplorer,1,1
JRClust,1,1
KiloSort,1,1
config,1,1
Electrophys Feature Extraction Library (eFEL),1,1
CSCS-DAINT,1,1
Neurolucida,1,1
Apache Lucene,1,1
pysap-mri,1,1
MARYthinner,1,1
missForest,1,2
webserver,1,1
Image Processing Toolbox,1,1
Alpha aligner,1,1
Code,1,2
GeNePy3D Python,1,1
AllosMod-FoXS,1,1
FlexPepDock,1,1
Theano,1,1
AlphaFold,1,1
RosettaFold,1,1
InraPorc,1,1
toolbar2,1,1
STATIFY,1,1
HALO-AI,1,2
EMPIAR,1,1
isoNET,1,1
pgmpy,1,1
ctypes,1,1
Docking Benchmark,1,1
NACCESS,1,1
ClusPro-AF2,1,1
JET2Viewer,1,1
GNN-DOVE,1,1
AlphaFold2,1,1
DevRate R,1,1
Bizagi,1,2
Software Library,1,1
FSL-topup,1,1
FSL-eddy,1,1
AMICO,1,1
DEXi,1,1
Web Server Gateway,1,1
scipionem-pyseg,1,1
Scientific -Tomography,1,1
Xmipp (de la,1,1
Home Page,1,1
Peet,1,1
PyTom,1,1
Optidose,1,2
MASTRO,1,1
Tomo-SegMenTV,1,1
CTF Estimation Assistant,1,1
Xmipp data viewer,1,1
scipion-em-tomoviz,1,1
Tomobflow,1,1
Membrane Annotator,1,1
IMOD -3dmod,1,1
scipion-em-tomo3d,1,1
TorchIO library,1,2
ASTRA Toolbox,1,2
DenseU-Net,1,1
VICON Nexus,1,1
Answer Set Programming (ASP),1,1
XL STAT,1,2
Extract Transform Load (ETL),1,1
Tomoeed,1,1
BoneXpert,1,1
ResearchKit,1,2
rstan,1,1
Jupyter,1,1
libDDD,1,1
Uppaal,1,1
SymPy,1,1
Open-StreetMap,1,1
MEArec,1,1
CoSSMos,1,1
lesionBrain,1,1
Mass-Lynx,1,1
antiSMASH,1,1
Genome Taxonomy Database Toolkit,1,1
Blast2Go,1,1
Findhap,1,1
ggridges,1,1
Scikitlearn,1,2
Marsatag,1,1
spaCy,1,1
Fluidigm Real-Time PCRAnalysis,1,1
FlowJo,1,1
Infinity Analyze,1,1
GIN,1,1
alakazam,1,1
UpSetR,1,1
COMSOL Multiphysics,1,2
Simple ITK,1,2
MKpower,1,1
mclust,1,1
speciateIT,1,2
Valencia,1,1
Deepfinder,1,1
Relion 4 (,1,1
pySeg,1,1
MINERVA (Molecular Interaction NEtwoRks VisuAlization),1,1
the Annotation,1,1
CyFi-MAP,1,1
PASCAL,1,1
BitterX,1,1
Genome Studio,1,2
Deep Image Prior,1,1
Pyradiomics,1,1
Thermo Scientific Amira,1,2
DeepBindRG,1,1
Automatic,1,1
Molecular Inverse Docking Engine (AMIDE),1,1
DOCK,1,1
Gmsh,1,1
MeVisLab,1,1
FEniCS,1,1
PyMC3,1,1
avgpool,1,2
Rafi,1,2
GraphicsFuel,1,1
Heatmapper,1,2
AMIDE,1,2
FRSite,1,1
DeepAffinity,1,1
SPA3G,1,1
biopython,1,1
ggplot,1,1
TractSeg,1,2
MRtrix toolbox,1,1
BLUP90IOD2,1,1
ASpIR,1,1
Unscrambler,1,1
XLSTAT,1,1
Pyris,1,1
The Environment for Visualizing Images,1,2
Micromed,1,2
Brian2,1,1
